observation_date,MKTGDPITA646NWDB
1960-01-01,42012422612.3955
1961-01-01,46649487320.4225
1962-01-01,52413872628.0045
1963-01-01,60035924617.9277
1964-01-01,65720771779.4768
1965-01-01,70717012186.1774
1966-01-01,76622444787.3696
1967-01-01,84401995573.2456
1968-01-01,91485448147.8400
1969-01-01,100996667239.3350
1970-01-01,113656669764.5600
1971-01-01,124959712858.9260
1972-01-01,145594833997.3440
1973-01-01,175896529392.2290
1974-01-01,200024444775.2310
1975-01-01,228220643534.9940
1976-01-01,225235205861.8280
1977-01-01,258190019749.8350
1978-01-01,315784469541.4100
1979-01-01,394584507107.9000
1980-01-01,478356755595.7490
1981-01-01,431695533980.5830
1982-01-01,428257421617.7520
1983-01-01,444063496940.3370
1984-01-01,438896930791.2720
1985-01-01,453259761687.4560
1986-01-01,641862313287.4399
1987-01-01,807570134448.7600
1988-01-01,893663934840.8210
1989-01-01,930801709003.6689
1990-01-01,1183945130898.5100
1991-01-01,1249092439519.2800
1992-01-01,1323204350353.5000
1993-01-01,1067412587670.7300
1994-01-01,1101750159702.2100
1995-01-01,1177369428265.7800
1996-01-01,1314776508972.2700
1997-01-01,1244988176443.8401
1998-01-01,1272729786996.7700
1999-01-01,1255004736463.9800
2000-01-01,1149661363439.3799
2001-01-01,1172041488805.8701
2002-01-01,1281746271196.0400
2003-01-01,1582930016538.8201
2004-01-01,1812808753294.7500
2005-01-01,1864982261286.8501
2006-01-01,1958563654385.6399
2007-01-01,2222524108127.6499
2008-01-01,2417508414187.1899
2009-01-01,2209484319012.6499
2010-01-01,2144936254535.0000
2011-01-01,2306974020278.2100
2012-01-01,2097929495121.6799
2013-01-01,2153225581941.4600
2014-01-01,2173255507985.8401
2015-01-01,1845428048839.1001
2016-01-01,1887111188176.9299
2017-01-01,1970720904584.7100
2018-01-01,2099435266458.6699
2019-01-01,2019606796583.5300
2020-01-01,1907481094079.2300
2021-01-01,2179207773596.0901
2022-01-01,2104067630319.4600
2023-01-01,2316727999333.1802
2024-01-01,2380825077243.5898
