observation_date,RGDPNAITA666NRUG
1950-01-01,396437.28125
1951-01-01,431099.12500
1952-01-01,449655.15625
1953-01-01,477373.78125
1954-01-01,496921.31250
1955-01-01,523501.93750
1956-01-01,545057.00000
1957-01-01,565770.06250
1958-01-01,592311.18750
1959-01-01,630935.43750
1960-01-01,682835.93750
1961-01-01,739581.25000
1962-01-01,784977.62500
1963-01-01,828482.31250
1964-01-01,851180.43750
1965-01-01,879553.18750
1966-01-01,932515.56250
1967-01-01,998718.50000
1968-01-01,1064921.50000
1969-01-01,1129232.75000
1970-01-01,1271096.25000
1971-01-01,1294206.12500
1972-01-01,1341968.62500
1973-01-01,1437595.50000
1974-01-01,1516665.25000
1975-01-01,1484964.50000
1976-01-01,1590774.00000
1977-01-01,1631505.62500
1978-01-01,1684368.62500
1979-01-01,1784743.00000
1980-01-01,1845960.00000
1981-01-01,1861544.00000
1982-01-01,1869243.25000
1983-01-01,1891098.37500
1984-01-01,1952102.37500
1985-01-01,2006723.87500
1986-01-01,2064115.75000
1987-01-01,2130001.50000
1988-01-01,2219341.75000
1989-01-01,2294541.50000
1990-01-01,2340106.00000
1991-01-01,2376107.25000
1992-01-01,2395930.50000
1993-01-01,2375498.00000
1994-01-01,2426595.25000
1995-01-01,2496647.50000
1996-01-01,2530241.75000
1997-01-01,2578967.00000
1998-01-01,2625501.50000
1999-01-01,2669557.00000
2000-01-01,2773192.00000
2001-01-01,2828834.00000
2002-01-01,2836470.25000
2003-01-01,2838358.00000
2004-01-01,2880195.75000
2005-01-01,2902154.75000
2006-01-01,2954378.50000
2007-01-01,2997580.00000
2008-01-01,2966910.75000
2009-01-01,2809511.50000
2010-01-01,2852472.00000
2011-01-01,2872309.75000
2012-01-01,2782543.25000
2013-01-01,2731956.00000
2014-01-01,2731918.00000
2015-01-01,2756113.75000
2016-01-01,2790185.50000
2017-01-01,2834931.50000
2018-01-01,2858366.50000
2019-01-01,2870633.50000
2020-01-01,2616059.50000
2021-01-01,2849701.25000
2022-01-01,2982547.75000
2023-01-01,3003354.75000
